"module name","version","licenses","repository"
"js-tokens@3.0.2","3.0.2","MIT","https://github.com/lydell/js-tokens"
"js-yaml@3.10.0","3.10.0","MIT","https://github.com/nodeca/js-yaml"
"jsesc@2.5.1","2.5.1","MIT","https://github.com/mathiasbynens/jsesc"
"json-parse-better-errors@1.0.2","1.0.2","MIT","https://github.com/zkat/json-parse-better-errors"
"json-schema-traverse@0.3.1","0.3.1","MIT","https://github.com/epoberezkin/json-schema-traverse"
"json-stable-stringify-without-jsonify@1.0.1","1.0.1","MIT","https://github.com/samn/json-stable-stringify"
"jsx-ast-utils@2.0.1","2.0.1","MIT","https://github.com/evcohen/jsx-ast-utils"
"levn@0.3.0","0.3.0","MIT","https://github.com/gkz/levn"
"license-checker@20.2.0","20.2.0","BSD-3-Clause","https://github.com/davglass/license-checker"
"load-json-file@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/load-json-file"
"locate-path@2.0.0","2.0.0","MIT","https://github.com/sindresorhus/locate-path"
"lodash@4.17.4","4.17.4","MIT","https://github.com/lodash/lodash"
"loose-envify@1.3.1","1.3.1","MIT","https://github.com/zertosh/loose-envify"
"lru-cache@4.1.1","4.1.1","ISC","https://github.com/isaacs/node-lru-cache"
"mimic-fn@1.1.0","1.1.0","MIT","https://github.com/sindresorhus/mimic-fn"
"minimatch@3.0.4","3.0.4","ISC","https://github.com/isaacs/minimatch"
"minimist@0.0.8","0.0.8","MIT","https://github.com/substack/minimist"
"mkdirp@0.5.1","0.5.1","MIT","https://github.com/substack/node-mkdirp"
"mri@1.1.0","1.1.0","MIT","https://github.com/lukeed/mri"
"ms@2.0.0","2.0.0","MIT","https://github.com/zeit/ms"
"mute-stream@0.0.7","0.0.7","ISC","https://github.com/isaacs/mute-stream"
"natural-compare@1.4.0","1.4.0","MIT","https://github.com/litejs/natural-compare-lite"
"node-fetch@1.7.3","1.7.3","MIT","https://github.com/bitinn/node-fetch"
"nopt@4.0.1","4.0.1","ISC","https://github.com/npm/nopt"
"normalize-package-data@2.4.0","2.4.0","BSD-2-Clause","https://github.com/npm/normalize-package-data"
"npm-run-path@2.0.2","2.0.2","MIT","https://github.com/sindresorhus/npm-run-path"
"object-assign@4.1.1","4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-keys@1.0.11","1.0.11","MIT","https://github.com/ljharb/object-keys"
"once@1.4.0","1.4.0","ISC","https://github.com/isaacs/once"
